Occupation code,Occupation title,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"125,380",1.6%,0.880,$22.52,$25.26,"$52,530",0.9%
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detail,"56,660",0.3%,0.398,$25.54,$28.43,"$59,140",0.3%
13-2082,Tax Preparers,detail,"68,720",3.0%,0.482,$18.62,$22.64,"$47,090",1.7%
13-2099,"Financial Specialists, All Other",detail,"125,900",1.1%,0.883,$33.42,$36.84,"$76,630",0.6%
15-0000,Computer and Mathematical Occupations,major,"4,261,460",0.5%,29.895,$40.66,$43.18,"$89,810",0.4%
15-1100,Computer Occupations,minor,"4,094,930",0.5%,28.726,$40.67,$43.16,"$89,780",0.4%
15-1111,Computer and Information Research Scientists,detail,"27,920",3.4%,0.196,$55.06,$57.49,"$119,570",1.4%
15-1120,Computer and Information Analysts,broad,"687,210",0.9%,4.821,$42.92,$45.10,"$93,800",0.3%
15-1121,Computer Systems Analysts,detail,"581,960",1.0%,4.083,$42.44,$44.59,"$92,740",0.3%
15-1122,Information Security Analysts,detail,"105,250",2.2%,0.738,$45.92,$47.93,"$99,690",0.6%
15-1130,Software Developers and Programmers,broad,"1,617,400",1.0%,11.346,$47.00,$49.27,"$102,470",0.6%
15-1131,Computer Programmers,detail,"247,690",1.9%,1.738,$39.54,$42.08,"$87,530",1.0%
15-1132,"Software Developers, Applications",detail,"849,230",1.3%,5.957,$48.94,$51.30,"$106,710",0.9%
15-1133,"Software Developers, Systems Software",detail,"394,590",1.3%,2.768,$51.73,$53.74,"$111,780",0.4%
15-1134,Web Developers,detail,"125,890",1.3%,0.883,$32.69,$35.63,"$74,110",0.6%
15-1140,Database and Systems Administrators and Network Architects,broad,"646,570",0.7%,4.536,$41.87,$44.26,"$92,070",0.2%
15-1141,Database Administrators,detail,"113,690",1.1%,0.798,$41.84,$42.81,"$89,050",0.3%
15-1142,Network and Computer Systems Administrators,detail,"375,040",0.8%,2.631,$38.99,$41.51,"$86,340",0.3%
15-1143,Computer Network Architects,detail,"157,830",1.6%,1.107,$50.31,$51.86,"$107,870",0.5%
15-1150,Computer Support Specialists,broad,"800,010",0.7%,5.612,$25.39,$27.53,"$57,260",0.3%
15-1151,Computer User Support Specialists,detail,"613,780",0.7%,4.306,$24.14,$26.03,"$54,150",0.4%
15-1152,Computer Network Support Specialists,detail,"186,230",1.2%,1.306,$29.97,$32.46,"$67,510",0.4%
15-1199,"Computer Occupations, All Other",detail,"315,830",0.9%,2.216,$42.56,$43.79,"$91,080",0.4%
15-2000,Mathematical Science Occupations,minor,"166,530",1.6%,1.168,$40.41,$43.49,"$90,460",0.4%
15-2011,Actuaries,detail,"19,210",3.8%,0.135,$48.83,$55.21,"$114,850",1.2%
15-2021,Mathematicians,detail,"2,730",4.8%,0.019,$49.52,$50.33,"$104,700",1.9%
15-2031,Operations Research Analysts,detail,"106,050",2.2%,0.744,$39.13,$41.59,"$86,510",0.6%
15-2041,Statisticians,detail,"36,540",2.2%,0.256,$40.41,$42.78,"$88,980",0.7%
15-2090,Miscellaneous Mathematical Science Occupations,broad,"2,000",8.9%,0.014,$27.83,$35.42,"$73,670",3.1%
17-0000,Architecture and Engineering Occupations,major,"2,516,780",0.6%,17.656,$38.07,$41.44,"$86,190",0.3%
17-1000,"Architects, Surveyors, and Cartographers",minor,"177,030",1.1%,1.242,$34.63,$37.97,"$78,970",0.7%
17-1010,"Architects, Except Naval",broad,"122,160",1.4%,0.857,$36.82,$40.82,"$84,910",0.9%
17-1011,"Architects, Except Landscape and Naval",detail,"103,110",1.6%,0.723,$37.72,$42.07,"$87,500",1.0%
17-1012,Landscape Architects,detail,"19,040",5.0%,0.134,$31.62,$34.08,"$70,880",1.3%
17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,"54,870",1.7%,0.385,$29.70,$31.60,"$65,740",0.6%
17-1021,Cartographers and Photogrammetrists,detail,"11,440",2.4%,0.080,$30.76,$32.40,"$67,390",0.7%
17-1022,Surveyors,detail,"43,430",2.0%,0.305,$29.40,$31.40,"$65,300",0.7%
17-2000,Engineers,minor,"1,665,220",0.7%,11.682,$44.34,$47.21,"$98,190",0.3%
17-2011,Aerospace Engineers,detail,"65,760",3.0%,0.461,$54.34,$55.43,"$115,300",0.7%
17-2021,Agricultural Engineers,detail,"1,770",7.8%,0.012,$35.95,$37.49,"$77,970",1.2%
17-2031,Biomedical Engineers,detail,"20,100",4.3%,0.141,$42.33,$44.70,"$92,970",1.0%
17-2041,Chemical Engineers,detail,"33,500",2.8%,0.235,$49.12,$54.05,"$112,430",1.5%
17-2051,Civil Engineers,detail,"298,910",1.2%,2.097,$40.75,$44.13,"$91,790",0.4%
17-2061,Computer Hardware Engineers,detail,"66,770",4.6%,0.468,$55.35,$57.52,"$119,650",1.4%
17-2070,Electrical and Electronics Engineers,broad,"318,300",1.2%,2.233,$47.10,$49.34,"$102,620",0.4%
17-2071,Electrical Engineers,detail,"183,370",1.3%,1.286,$45.70,$47.87,"$99,580",0.4%
17-2072,"Electronics Engineers, Except Computer",detail,"134,930",2.4%,0.947,$49.13,$51.33,"$106,760",0.7%
17-2081,Environmental Engineers,detail,"52,640",1.8%,0.369,$41.73,$43.83,"$91,180",0.7%
17-2110,"Industrial Engineers, Including Health and Safety",broad,"291,660",1.0%,2.046,$41.39,$43.51,"$90,500",0.4%
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detail,"26,130",2.1%,0.183,$42.55,$44.32,"$92,190",0.6%
17-2112,Industrial Engineers,detail,"265,520",1.1%,1.863,$41.29,$43.43,"$90,340",0.4%
17-2121,Marine Engineers and Naval Architects,detail,"10,960",4.6%,0.077,$43.74,$46.59,"$96,910",1.5%
17-2131,Materials Engineers,detail,"27,200",3.9%,0.191,$45.48,$47.41,"$98,610",1.3%
17-2141,Mechanical Engineers,detail,"291,290",1.6%,2.043,$41.29,$43.99,"$91,500",0.4%
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detail,"6,150",5.2%,0.043,$45.31,$49.86,"$103,710",2.4%
17-2161,Nuclear Engineers,detail,"16,700",5.2%,0.117,$50.87,$52.36,"$108,910",1.5%
17-2171,Petroleum Engineers,detail,"32,010",4.5%,0.225,$63.60,$74.41,"$154,780",2.4%
17-2199,"Engineers, All Other",detail,"131,500",1.4%,0.922,$46.75,$47.74,"$99,310",0.4%
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,"674,540",0.7%,4.732,$26.83,$28.10,"$58,450",0.3%
17-3010,Drafters,broad,"195,510",1.1%,1.372,$26.04,$27.44,"$57,080",0.4%
17-3011,Architectural and Civil Drafters,detail,"95,960",1.7%,0.673,$25.42,$26.50,"$55,110",0.4%
17-3012,Electrical and Electronics Drafters,detail,"26,060",2.5%,0.183,$28.70,$30.64,"$63,720",1.0%
17-3013,Mechanical Drafters,detail,"58,190",1.7%,0.408,$26.50,$27.96,"$58,150",0.8%
17-3019,"Drafters, All Other",detail,"15,300",3.3%,0.107,$24.18,$25.96,"$53,990",1.3%
17-3020,"Engineering Technicians, Except Drafters",broad,"427,140",0.9%,2.996,$27.97,$29.11,"$60,550",0.4%
17-3021,Aerospace Engineering and Operations Technicians,detail,"11,710",4.7%,0.082,$32.33,$34.30,"$71,340",3.8%
17-3022,Civil Engineering Technicians,detail,"71,430",1.4%,0.501,$24.82,$25.77,"$53,600",0.5%
17-3023,Electrical and Electronics Engineering Technicians,detail,"128,320",2.1%,0.900,$30.60,$30.91,"$64,290",0.4%
17-3024,Electro-Mechanical Technicians,detail,"13,050",4.4%,0.092,$27.28,$28.60,"$59,490",1.0%
17-3025,Environmental Engineering Technicians,detail,"17,590",3.6%,0.123,$24.15,$25.77,"$53,610",1.0%
17-3026,Industrial Engineering Technicians,detail,"65,020",2.1%,0.456,$26.10,$27.79,"$57,810",0.9%
17-3027,Mechanical Engineering Technicians,detail,"43,390",1.9%,0.304,$26.62,$27.97,"$58,180",0.8%
17-3029,"Engineering Technicians, Except Drafters, All Other",detail,"76,630",1.4%,0.538,$29.92,$31.03,"$64,550",0.8%
17-3031,Surveying and Mapping Technicians,detail,"51,890",2.6%,0.364,$20.84,$22.28,"$46,350",0.6%
19-0000,"Life, Physical, and Social Science Occupations",major,"1,148,300",0.7%,8.055,$31.01,$35.76,"$74,370",0.4%
19-1000,Life Scientists,minor,"292,310",1.5%,2.051,$35.43,$40.80,"$84,860",0.9%
19-1010,Agricultural and Food Scientists,broad,"31,750",4.6%,0.223,$30.25,$33.88,"$70,480",1.1%
19-1011,Animal Scientists,detail,"2,550",6.5%,0.018,$29.21,$33.10,"$68,840",2.4%
19-1012,Food Scientists and Technologists,detail,"15,020",8.3%,0.105,$30.60,$34.61,"$71,990",2.1%
19-1013,Soil and Plant Scientists,detail,"14,180",4.7%,0.099,$30.01,$33.26,"$69,170",1.3%
19-1020,Biological Scientists,broad,"104,550",2.0%,0.733,$36.04,$40.41,"$84,060",1.4%
19-1021,Biochemists and Biophysicists,detail,"27,380",4.6%,0.192,$43.84,$50.68,"$105,410",3.8%
19-1022,Microbiologists,detail,"21,870",6.5%,0.153,$33.64,$37.69,"$78,400",2.4%
19-1023,Zoologists and Wildlife Biologists,detail,"17,710",2.3%,0.124,$29.95,$31.85,"$66,250",0.6%
19-1029,"Biological Scientists, All Other",detail,"37,590",1.9%,0.264,$36.87,$38.56,"$80,200",1.3%
19-1030,Conservation Scientists and Foresters,broad,"30,340",1.4%,0.213,$29.31,$30.76,"$63,990",0.6%
19-1031,Conservation Scientists,detail,"22,040",1.8%,0.155,$29.56,$31.18,"$64,850",0.8%
19-1032,Foresters,detail,"8,300",2.0%,0.058,$28.90,$29.67,"$61,710",0.5%
19-1040,Medical Scientists,broad,"118,560",2.7%,0.832,$38.93,$45.64,"$94,920",1.5%
19-1041,Epidemiologists,detail,"6,870",1.9%,0.048,$33.49,$36.65,"$76,230",1.6%
19-1042,"Medical Scientists, Except Epidemiologists",detail,"111,690",2.8%,0.783,$39.46,$46.19,"$96,070",1.5%
19-1099,"Life Scientists, All Other",detail,"7,120",4.6%,0.050,$35.84,$39.55,"$82,270",2.1%
19-2000,Physical Scientists,minor,"253,660",1.1%,1.779,$37.88,$42.53,"$88,470",0.6%
19-2010,Astronomers and Physicists,broad,"18,720",4.7%,0.131,$56.36,$58.47,"$121,620",1.5%
19-2011,Astronomers,detail,"2,020",9.2%,0.014,$48.36,$52.67,"$109,560",3.0%
19-2012,Physicists,detail,"16,710",4.9%,0.117,$57.13,$59.17,"$123,080",1.5%
19-2021,Atmospheric and Space Scientists,detail,"8,940",3.5%,0.063,$44.27,$45.05,"$93,710",1.1%
19-2030,Chemists and Materials Scientists,broad,"91,880",2.1%,0.645,$36.67,$40.14,"$83,500",0.8%
19-2031,Chemists,detail,"84,400",2.3%,0.592,$35.94,$39.36,"$81,870",0.9%
19-2032,Materials Scientists,detail,"7,470",5.3%,0.052,$47.85,$48.99,"$101,910",1.5%
19-2040,Environmental Scientists and Geoscientists,broad,"116,790",1.4%,0.819,$35.51,$40.33,"$83,890",0.7%
19-2041,"Environmental Scientists and Specialists, Including Health",detail,"81,920",1.5%,0.575,$33.37,$36.64,"$76,220",0.8%
19-2042,"Geoscientists, Except Hydrologists and Geographers",detail,"28,520",3.6%,0.200,$43.20,$50.88,"$105,830",1.5%
19-2043,Hydrologists,detail,"6,350",3.5%,0.045,$38.46,$40.53,"$84,290",1.1%
19-2099,"Physical Scientists, All Other",detail,"17,320",2.5%,0.122,$49.99,$51.53,"$107,180",1.4%
19-3000,Social Scientists and Related Workers,minor,"243,150",0.9%,1.706,$37.01,$39.96,"$83,110",1.0%
19-3011,Economists,detail,"19,550",4.5%,0.137,$49.27,$54.16,"$112,650",1.3%
19-3022,Survey Researchers,detail,"11,270",4.8%,0.079,$26.09,$29.18,"$60,700",2.2%
19-3030,Psychologists,broad,"121,870",1.3%,0.855,$37.03,$39.79,"$82,770",0.7%
19-3031,"Clinical, Counseling, and School Psychologists",detail,"108,060",1.4%,0.758,$36.10,$39.10,"$81,330",0.7%
19-3032,Industrial-Organizational Psychologists,detail,920,14.1%,0.006,$41.87,$49.29,"$102,530",5.6%
19-3039,"Psychologists, All Other",detail,"12,880",2.0%,0.090,$46.99,$44.92,"$93,440",1.7%
19-3041,Sociologists,detail,"2,770",5.6%,0.019,$38.29,$41.41,"$86,130",3.0%
19-3051,Urban and Regional Planners,detail,"35,310",1.4%,0.248,$34.37,$35.75,"$74,350",0.5%
19-3090,Miscellaneous Social Scientists and Related Workers,broad,"52,380",2.2%,0.367,$37.83,$40.12,"$83,450",1.7%
19-3091,Anthropologists and Archeologists,detail,"6,120",4.6%,0.043,$29.94,$31.89,"$66,330",1.2%
19-3092,Geographers,detail,"1,400",8.5%,0.010,$36.95,$36.92,"$76,790",1.2%
19-3093,Historians,detail,"3,060",4.7%,0.021,$28.42,$30.88,"$64,220",2.5%
19-3094,Political Scientists,detail,"6,320",7.0%,0.044,$55.34,$53.86,"$112,030",2.7%
19-3099,"Social Scientists and Related Workers, All Other",detail,"35,490",2.9%,0.249,$38.16,$40.01,"$83,230",1.0%
19-4000,"Life, Physical, and Social Science Technicians",minor,"359,180",1.0%,2.520,$22.01,$24.02,"$49,970",0.4%
19-4011,Agricultural and Food Science Technicians,detail,"21,120",3.0%,0.148,$19.19,$20.63,"$42,910",1.0%
19-4021,Biological Technicians,detail,"74,980",2.6%,0.526,$21.06,$22.79,"$47,410",0.6%
19-4031,Chemical Technicians,detail,"64,550",1.9%,0.453,$22.73,$24.52,"$51,010",0.9%
19-4041,Geological and Petroleum Technicians,detail,"14,820",4.7%,0.104,$26.05,$30.50,"$63,450",2.8%
19-4051,Nuclear Technicians,detail,"6,850",7.3%,0.048,$38.64,$38.46,"$80,000",1.6%
19-4061,Social Science Research Assistants,detail,"31,500",4.8%,0.221,$22.12,$23.57,"$49,030",1.6%
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,"145,360",1.1%,1.020,$21.97,$23.69,"$49,270",0.5%
19-4091,"Environmental Science and Protection Technicians, Including Health",detail,"32,840",2.4%,0.230,$21.87,$23.71,"$49,310",0.8%
19-4092,Forensic Science Technicians,detail,"15,070",1.8%,0.106,$27.81,$29.43,"$61,220",0.9%
19-4093,Forest and Conservation Technicians,detail,"30,570",0.9%,0.214,$17.37,$18.84,"$39,180",0.3%
19-4099,"Life, Physical, and Social Science Technicians, All Other",detail,"66,890",2.1%,0.469,$23.12,$24.60,"$51,160",0.7%
21-0000,Community and Social Service Occupations,major,"2,096,740",0.4%,14.709,$21.08,$23.10,"$48,050",0.4%
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,"2,017,250",0.5%,14.151,$21.09,$23.11,"$48,060",0.3%
21-1010,Counselors,broad,"687,150",0.7%,4.820,$22.47,$24.36,"$50,670",0.4%
21-1012,"Educational, Guidance, School, and Vocational Counselors",detail,"271,350",0.9%,1.904,$26.64,$28.18,"$58,620",0.7%
21-1013,Marriage and Family Therapists,detail,"42,880",4.2%,0.301,$23.45,$25.89,"$53,860",1.5%
21-1015,Rehabilitation Counselors,detail,"103,840",1.7%,0.728,$16.76,$18.73,"$38,950",0.7%
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detail,"241,930",1.0%,1.697,$20.82,$22.38,"$46,560",0.5%
21-1019,"Counselors, All Other",detail,"27,150",3.4%,0.190,$20.85,$22.89,"$47,600",1.2%
21-1020,Social Workers,broad,"644,290",0.8%,4.520,$23.07,$24.82,"$51,630",0.6%
21-1021,"Child, Family, and School Social Workers",detail,"306,370",0.8%,2.149,$21.34,$23.28,"$48,430",1.0%
21-1022,Healthcare Social Workers,detail,"167,730",2.0%,1.177,$26.38,$27.31,"$56,810",0.7%
21-1023,Mental Health and Substance Abuse Social Workers,detail,"112,040",1.6%,0.786,$20.79,$22.99,"$47,830",0.7%
21-1029,"Social Workers, All Other",detail,"58,150",1.6%,0.408,$29.80,$29.28,"$60,900",0.7%
21-1090,Miscellaneous Community and Social Service Specialists,broad,"685,810",0.8%,4.811,$18.11,$20.23,"$42,090",0.7%
21-1091,Health Educators,detail,"58,040",1.7%,0.407,$25.93,$28.37,"$59,010",1.5%
21-1092,Probation Officers and Correctional Treatment Specialists,detail,"87,700",0.8%,0.615,$24.71,$27.23,"$56,630",0.7%
21-1093,Social and Human Service Assistants,detail,"384,080",1.2%,2.694,$15.92,$17.05,"$35,460",0.9%
21-1094,Community Health Workers,detail,"54,760",2.1%,0.384,$18.45,$20.36,"$42,340",0.8%
21-1099,"Community and Social Service Specialists, All Other",detail,"101,230",1.5%,0.710,$19.99,$21.53,"$44,780",0.8%
21-2000,Religious Workers,minor,"79,490",1.6%,0.558,$20.87,$23.02,"$47,880",0.8%
21-2011,Clergy,detail,"49,850",1.8%,0.350,$22.65,$24.43,"$50,800",0.8%
21-2021,"Directors, Religious Activities and Education",detail,"21,430",3.0%,0.150,$18.74,$21.86,"$45,470",1.7%
21-2099,"Religious Workers, All Other",detail,"8,210",5.2%,0.058,$14.09,$17.49,"$36,380",4.0%
23-0000,Legal Occupations,major,"1,095,770",0.4%,7.687,$38.50,$51.62,"$107,370",0.6%
23-1000,"Lawyers, Judges, and Related Workers",minor,"692,660",0.6%,4.859,$55.87,$66.18,"$137,660",0.6%
23-1010,Lawyers and Judicial Law Clerks,broad,"643,630",0.6%,4.515,$56.26,$67.26,"$139,900",0.6%
23-1011,Lawyers,detail,"628,370",0.6%,4.408,$57.33,$68.22,"$141,890",0.6%
23-1012,Judicial Law Clerks,detail,"15,260",2.4%,0.107,$24.68,$27.84,"$57,920",2.8%
23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,"49,030",0.8%,0.344,$50.89,$52.09,"$108,340",0.9%
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detail,"14,480",0.4%,0.102,$45.57,$47.25,"$98,280",0.6%
23-1022,"Arbitrators, Mediators, and Conciliators",detail,"6,110",5.3%,0.043,$29.17,$35.11,"$73,020",2.5%
23-1023,"Judges, Magistrate Judges, and Magistrates",detail,"28,440",0.6%,0.200,$64.34,$58.20,"$121,050",0.6%
23-2000,Legal Support Workers,minor,"403,110",0.9%,2.828,$24.34,$26.60,"$55,330",0.4%
23-2011,Paralegals and Legal Assistants,detail,"290,410",1.1%,2.037,$24.24,$25.92,"$53,910",0.5%
23-2090,Miscellaneous Legal Support Workers,broad,"112,700",2.0%,0.791,$24.66,$28.36,"$59,000",0.8%
23-2091,Court Reporters,detail,"15,220",3.8%,0.107,$26.50,$28.88,"$60,060",2.1%
23-2093,"Title Examiners, Abstractors, and Searchers",detail,"53,040",3.6%,0.372,$22.53,$24.61,"$51,180",1.2%
23-2099,"Legal Support Workers, All Other",detail,"44,440",2.4%,0.312,$26.98,$32.67,"$67,960",1.1%
25-0000,"Education, Training, and Library Occupations",major,"8,727,710",0.3%,61.226,$23.43,$26.67,"$55,470",0.5%
25-1000,Postsecondary Teachers,minor,"1,525,170",0.9%,10.699,(4),(4),"$82,880",1.0%
25-1011,"Business Teachers, Postsecondary",detail,"84,340",1.5%,0.592,(4),(4),"$100,270",1.2%
